Dataset,Resample_1,Resample_2,Resample_3,Resample_4,Resample_5,Resample_6,Resample_7,Resample_8,Resample_9,Resample_10,Resample_11,Resample_12,Resample_13,Resample_14,Resample_15,Resample_16,Resample_17,Resample_18,Resample_19,Resample_20,Resample_21,Resample_22,Resample_23,Resample_24,Resample_25,Resample_26,Resample_27,Resample_28,Resample_29,Resample_30,MeanAccuracy
Chinatown,0.9620991253644317,0.979591836734694,0.9737609329446064,0.9591836734693876,0.9650145772594751,0.9620991253644317,0.9446064139941692,0.9620991253644317,0.9708454810495628,0.9650145772594751,0.956268221574344,0.97667638483965,0.9504373177842566,0.979591836734694,0.9650145772594751,0.956268221574344,0.9591836734693876,0.956268221574344,0.9650145772594751,0.9620991253644317,0.9650145772594751,0.956268221574344,0.932944606413994,0.9650145772594751,0.9620991253644317,0.9620991253644317,0.9037900874635568,0.9504373177842566,0.9620991253644317,0.9475218658892128,0.9592808551992226
SmoothSubspace,0.9933333333333332,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.9666666666666668,0.96,0.9866666666666668,0.98,0.98,0.9733333333333334,0.9733333333333334,1.0,0.9733333333333334,0.9933333333333332,0.9866666666666668,0.9933333333333332,0.9933333333333332,0.9733333333333334,0.98,0.9866666666666668,0.9733333333333334,0.98,0.96,0.9733333333333334,0.98,0.9866666666666668,0.9866666666666668,0.98,0.9933333333333332,1.0,0.9822222222222224
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ECG200,0.91,0.94,0.93,0.94,0.9,0.88,0.89,0.84,0.92,0.94,0.94,0.9,0.95,0.89,0.89,0.93,0.85,0.91,0.91,0.94,0.9,0.88,0.89,0.9,0.93,0.94,0.94,0.93,0.95,0.95,0.9136666666666668
BeetleFly,0.9,0.95,0.9,0.95,0.9,0.9,1.0,0.85,0.85,0.95,1.0,0.8,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.95,0.9,0.9,0.9,0.85,0.85,0.95,1.0,0.85,0.85,0.9016666666666668
BirdChicken,0.9,0.95,1.0,0.9,0.95,0.85,1.0,0.9,1.0,0.9,0.95,0.9,0.85,0.85,0.85,0.9,0.9,0.9,1.0,1.0,0.95,0.85,0.8,0.95,0.85,0.9,0.95,0.9,0.9,0.95,0.9149999999999998
PowerCons,0.9555555555555556,0.9777777777777776,0.9833333333333332,0.9888888888888888,0.95,0.9944444444444444,0.9777777777777776,0.9888888888888888,0.9666666666666668,0.9388888888888888,0.9611111111111112,0.9666666666666668,0.9944444444444444,0.9777777777777776,1.0,0.9722222222222222,0.9666666666666668,1.0,0.9555555555555556,0.9944444444444444,0.9666666666666668,0.9833333333333332,0.9777777777777776,0.9888888888888888,0.9722222222222222,0.9555555555555556,0.9722222222222222,0.9833333333333332,0.9722222222222222,0.95,0.9744444444444444
UMD,0.9583333333333334,0.9930555555555556,0.9375,0.9930555555555556,0.9722222222222222,0.9652777777777778,0.9791666666666666,0.9930555555555556,0.9930555555555556,0.8958333333333334,1.0,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.9861111111111112,0.9930555555555556,0.9652777777777778,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.9444444444444444,0.9930555555555556,0.9930555555555556,0.8541666666666666,0.9791666666666666,0.9930555555555556,1.0,0.9861111111111112,0.9770833333333336
ItalyPowerDemand,0.9650145772594751,0.9659863945578232,0.9552964042759962,0.9718172983479106,0.9718172983479106,0.9727891156462584,0.9689018464528668,0.957240038872692,0.9708454810495628,0.9630709426627794,0.9689018464528668,0.967930029154519,0.9620991253644317,0.9718172983479106,0.9620991253644317,0.9407191448007776,0.9689018464528668,0.9718172983479106,0.9650145772594751,0.956268221574344,0.9630709426627794,0.9698736637512148,0.967930029154519,0.9708454810495628,0.9708454810495628,0.9620991253644317,0.9689018464528668,0.9689018464528668,0.9689018464528668,0.9620991253644317,0.9657272432782634
Wine,0.9629629629629628,0.9444444444444444,0.9074074074074074,0.925925925925926,0.8888888888888888,0.925925925925926,0.8703703703703703,1.0,1.0,0.8703703703703703,0.925925925925926,0.925925925925926,1.0,0.9444444444444444,1.0,0.8518518518518519,0.9444444444444444,0.9444444444444444,0.8703703703703703,0.8333333333333334,0.925925925925926,0.8888888888888888,0.925925925925926,0.9074074074074074,0.8888888888888888,0.9074074074074074,0.925925925925926,0.9444444444444444,0.8703703703703703,0.9814814814814816,0.9234567901234568
Beef,0.8333333333333334,0.7,0.9333333333333332,0.7666666666666667,0.7,0.7,0.7,0.8666666666666667,0.6,0.6666666666666666,0.8666666666666667,0.6333333333333333,0.8333333333333334,0.7666666666666667,0.7333333333333333,0.7666666666666667,0.8,0.8,0.6,0.8,0.6666666666666666,0.7666666666666667,0.7666666666666667,0.8,0.8,0.8,0.8,0.7333333333333333,0.8,0.6666666666666666,0.7555555555555558
GunPoint,1.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9866666666666668,1.0,0.9933333333333332,1.0,0.9933333333333332,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,0.9866666666666668,0.9933333333333332,0.9933333333333332,1.0,1.0,1.0,1.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,1.0,1.0,1.0,0.9964444444444444
Plane,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OliveOil,0.8,0.9666666666666668,0.9333333333333332,0.9666666666666668,0.8666666666666667,0.8,0.9333333333333332,0.8666666666666667,0.9,0.9,0.9666666666666668,0.8666666666666667,0.9,0.9,0.8666666666666667,0.8333333333333334,0.9,0.8666666666666667,0.9333333333333332,0.9,0.8666666666666667,0.8333333333333334,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.8,0.8333333333333334,0.8666666666666667,0.7666666666666667,0.8333333333333334,0.8855555555555554
SyntheticControl,0.9966666666666668,0.99,0.9933333333333332,0.99,0.9933333333333332,0.9933333333333332,0.99,0.9966666666666668,0.9933333333333332,0.9966666666666668,0.9966666666666668,0.99,0.99,0.9933333333333332,0.9933333333333332,1.0,0.9866666666666668,0.99,0.9966666666666668,0.98,0.9966666666666668,0.9933333333333332,0.9933333333333332,0.9966666666666668,0.9866666666666668,0.9933333333333332,0.9966666666666668,0.9933333333333332,0.9966666666666668,0.9933333333333332,0.993
FaceFour,0.9545454545454546,0.8522727272727273,0.9431818181818182,0.9090909090909092,0.9431818181818182,0.7840909090909091,0.9318181818181818,0.9545454545454546,0.9772727272727272,0.875,0.9431818181818182,0.9431818181818182,0.9090909090909092,0.9318181818181818,0.9886363636363636,0.9090909090909092,0.9204545454545454,0.9659090909090908,0.9886363636363636,0.875,0.9090909090909092,0.9318181818181818,0.8181818181818182,0.875,0.9772727272727272,0.9545454545454546,0.9318181818181818,0.9204545454545454,0.9431818181818182,0.9886363636363636,0.925
